Child's First Name,Year of Birth,Gender,ASIAN AND PACIFIC ISLANDER,BLACK NON HISPANIC,HISPANIC,WHITE NON HISPANIC,overall_count,rank
ELISE,2011,FEMALE,0,0,0,468,468,474.0
ELISHEVA,2011,FEMALE,0,0,0,504,504,442.0
ELIZA,2011,FEMALE,0,0,0,900,900,298.0
ELIZABETH,2011,FEMALE,2070,2530,8694,13800,27094,23.0
ELLA,2011,FEMALE,2700,0,3456,13716,19872,33.0
ELLE,2011,FEMALE,0,0,0,612,612,379.0
ELLIANA,2011,FEMALE,0,0,0,396,396,546.0
ELLIE,2011,FEMALE,0,0,0,936,936,287.0
ELOISE,2011,FEMALE,0,0,0,864,864,309.0
EMELY,2011,FEMALE,0,0,1800,0,1800,230.0
EMERSON,2011,FEMALE,0,0,0,576,576,394.0
EMILIA,2011,FEMALE,0,0,0,1188,1188,262.0
EMILY,2011,FEMALE,13392,4320,23328,17136,58176,6.0
EMMA,2011,FEMALE,10800,2160,16416,30672,60048,4.0
ERICA,2011,FEMALE,684,0,0,0,684,361.0
ERIKA,2011,FEMALE,864,0,1080,0,1944,218.0
ERIN,2011,FEMALE,1404,1080,0,1620,4104,138.0
ESHAL,2011,FEMALE,396,0,0,0,396,546.0
ESMERALDA,2011,FEMALE,0,0,972,0,972,283.0
ESSENCE,2011,FEMALE,0,396,0,0,396,546.0
ESTER,2011,FEMALE,0,0,0,504,504,442.0
ESTHER,2011,FEMALE,0,0,1008,16128,17136,38.0
ESTRELLA,2011,FEMALE,0,0,540,0,540,417.0
ESTY,2011,FEMALE,0,0,0,648,648,371.0
ETTY,2011,FEMALE,0,0,0,540,540,417.0
EVA,2011,FEMALE,3168,1584,6768,9216,20736,30.0
EVE,2011,FEMALE,0,0,0,792,792,323.0
EVELYN,2011,FEMALE,1836,0,6804,4212,12852,51.0
FAIGA,2011,FEMALE,0,0,0,576,576,394.0
FAIGY,2011,FEMALE,0,0,0,2592,2592,182.0
FAITH,2011,FEMALE,0,3312,1800,0,5112,112.0
FANTA,2011,FEMALE,0,540,0,0,540,417.0
FATIMA,2011,FEMALE,2592,2592,1296,0,6480,91.0
FATOU,2011,FEMALE,0,432,0,0,432,508.0
FATOUMATA,2011,FEMALE,0,1836,0,0,1836,227.0
FERNANDA,2011,FEMALE,0,0,504,0,504,442.0
FINLEY,2011,FEMALE,0,0,0,396,396,546.0
FIONA,2011,FEMALE,3456,0,0,2160,5616,102.0
FRADEL,2011,FEMALE,0,0,0,576,576,394.0
FRAIDY,2011,FEMALE,0,0,0,936,936,287.0
FRANCESCA,2011,FEMALE,0,0,0,1188,1188,262.0
FRIMET,2011,FEMALE,0,0,0,360,360,587.0
GABRIELA,2011,FEMALE,0,0,5616,1368,6984,85.0
GABRIELLA,2011,FEMALE,0,2592,9288,11016,22896,26.0
GABRIELLE,2011,FEMALE,0,5940,1512,1620,9072,73.0
GEMMA,2011,FEMALE,0,0,0,540,540,417.0
GENESIS,2011,FEMALE,0,1080,6768,0,7848,80.0
GENEVIEVE,2011,FEMALE,0,0,0,432,432,508.0
